_id,Condition,Price,Location,Model_Year,Mileage,Exterior_Color,Make,Warranty,Model,Sub_Model,Type,Feedback_Perc,N_Reviews,Seller_Status
,Used,"$11,100 ","Oak Park, Illinois, United States",2011,"5,800",Black,Harley-Davidson,"Vehicle does NOT have an existing warranty",Touring,"Street Glide",Touring,100,83,"Private Seller"
,Used,"$1,125 ","Pewaukee, Wisconsin, United States",2002,"55,000","RICH RED W/STRIPES",Harley-Davidson,"Vehicle does NOT have an existing warranty",Other,NONE,Touring,100,128,"Private Seller"
,Used,"$3,550 ","Madison, Wisconsin, United States",2000,"57,898","Luxury Rich Red",Harley-Davidson,"Vehicle does NOT have an existing warranty. AS IS.",Touring,,Cruiser,100,10701,Dealer
,Used,"$5,500 ","Davenport, Iowa, United States",2008,"22,102",,Harley-Davidson,"Vehicle does NOT have an existing warranty",Touring,,Touring,9.3,244,"Private Seller"
,Used,"$9,000 ","Plymouth, Indiana, United States",2010,"7,792",Red,Harley-Davidson,"Vehicle does NOT have an existing warranty",Touring,FLTRX,Touring,100,299,"Private Seller"
,Used,"$8,100 ","Goshen, Indiana, United States",1973,"9,305",White,Harley-Davidson,"Vehicle does NOT have an existing warranty",Other,"Servii-Car GE 750",Trike,100,300,"Private Seller"
,Used,"$14,000 ","Plainfield, Indiana, United States",2016,"1,125",Blue,Harley-Davidson,"Vehicle has an existing warranty",Softail,"Heritage Softail Classic",Cruiser,100,170,"Private Seller"
,Used,"$20,000 ","Bellevue, Iowa, United States",2015,"5,500",Red,Harley-Davidson,"Vehicle has an existing warranty",Touring,"Ultra Limited",Touring,100,66,"Private Seller"
,New,"$13,000 ","Des Plaines, Illinois, United States",2016,250,Black,Harley-Davidson,Unspecified,Softail,Deluxe,Cruiser,100,181,"Private Seller"
,New,"$10,900 ","Ottawa, Illinois, United States",2017,140,Black,Harley-Davidson,"Vehicle has an existing warranty",Touring,,"Sport Bike",100,3172,"Private Seller"
,Used,"$9,999 ","Orland Park, Illinois, United States",2005,"25,405",Black,Harley-Davidson,,Softail,"HERITAGE SPRINGER CLASSIC",CRUISER,100,283,Dealer
,Used,"$5,700 ","Cross Plains, Wisconsin, United States",1982,"28,888","Black &amp; Blue",Harley-Davidson,,Other,FXS,,100,947,"Private Seller"
,Used,"$7,400 ","Watervliet, Michigan, United States",2001,"23,658",Purple,Harley-Davidson,"Vehicle does NOT have an existing warranty",Touring,,,100,412,"Private Seller"
,Used,"$26,500 ","Kewanee, Illinois, United States",2016,"13,089",Black,Harley-Davidson,"Vehicle does NOT have an existing warranty",Touring,FLTRXS,Touring,100,6,"Private Seller"
,Used,"$9,850 ","Chicago, Illinois, United States",2003,"23,546",Blue,Harley-Davidson,,Touring,,Touring,100,12,"Private Seller"
,Used,"$45,900 ","South Haven, Michigan, United States",2009,"40,000",Red,Harley-Davidson,"Vehicle does NOT have an existing warranty",Touring,,Touring,100,199,"Private Seller"
,Used,"$10,600 ","Wheeling, Illinois, United States",2009,"3,769","Red Hot Sun Glo",Harley-Davidson,,Touring,,Touring,100,175,"Private Seller"
,Used,"$12,000 ","Chicago, Illinois, United States",2008,"8,700",Burgundy,Harley-Davidson,"Vehicle does NOT have an existing warranty",Softail,,Custom,100,11,"Private Seller"
,Used,"$20,000 ","Chicago, Illinois, United States",2011,"16,827",Black,Harley-Davidson,,TRIKE,TRIKE,TRIKE,,17,"Private Seller"
,Used,"$25,000 ","Summit-Argo, Illinois, United States",2010,"15,000","Kandy brandywine",Harley-Davidson,"Vehicle does NOT have an existing warranty",Touring,,Cruiser,100,18,"Private Seller"
,Used,"$20,000 ","Coldwater, Michigan, United States",2014,"2,900",Blue,Harley-Davidson,"Vehicle does NOT have an existing warranty",Touring,"Detroit Choppers",Touring,100,142,"Private Seller"
,Used,"$11,000 ","Elkhart, Indiana, United States",2007,"15,200",Red,Harley-Davidson,"Vehicle does NOT have an existing warranty",Touring,"Road Glide",Touring,,28,"Private Seller"
,Used,"$8,500 ","Glenview NAS, Illinois, United States",2008,"10,319",Black,Harley-Davidson,,Touring,,Touring,100,324,"Private Seller"
,Used,"$18,000 ","Fox River Grove, Illinois, United States",2010,"29,544",Blue,Harley-Davidson,"Vehicle does NOT have an existing warranty",Touring,"STREET GLIDE FLHXSE2",Touring,100,111,"Private Seller"
,Used,"$7,700 ","Roselle, Illinois, United States",2007,"10,893",,Harley-Davidson,,Other,"Super Glide",Cruiser,100,236,
,Used,"$2,750 ","Belvidere, Illinois, United States",2007,"35,735",Black,Harley-Davidson,"Vehicle does NOT have an existing warranty",FLH,"Electra Glide Ultra Classic",,100,100,"Belvidere Police Department"
,Used,"$10,895 ","Kalamazoo, Michigan, United States",2005,"9,908",Red,Harley-Davidson,,Softail,CVO,,100,1522,"Private Seller"
,Used,"$6,700 ","Tinley Park, Illinois, United States",2004,"8,950",Burgundy,Harley-Davidson,"Vehicle does NOT have an existing warranty",Softail,Deuce,"Sport Touring",100,126,"Private Seller"
,Used,"$18,000 ","Batavia, Illinois, United States",2015,"5,600",Black,Harley-Davidson,"Vehicle has an existing warranty",Touring,,Touring,100,63,"Private Seller"
,Used,"$7,300 ","Rolling Meadows, Illinois, United States",1997,"20,000",Black,Harley-Davidson,"Vehicle does NOT have an existing warranty",Sportster,,,100,111,"Private Seller"
,Used,"$6,800 ","Hampshire, Illinois, United States",2003,"55,782",,Harley-Davidson,"Vehicle does NOT have an existing warranty",Softail,"100th Anniversary",Cruiser,100,298,"Private Seller"
,Used,"$5,000 ","South Bend, Indiana, United States",2003,"1,350",Black,Harley-Davidson,"Vehicle does NOT have an existing warranty",Sportster,XL1200,Cruiser,100,37,"Private Seller"
,Used,"$13,200 ","Algonquin, Illinois, United States",2011,"15,400",Black,Harley-Davidson,"Vehicle does NOT have an existing warranty",Touring,"FLHTK ULTRA LIMITED",Touring,100,478,"Private Seller"
,Used,"$11,400 ","Indianapolis, Indiana, United States",2012,"1,533",Black,Harley-Davidson,"Vehicle does NOT have an existing warranty",Touring,,"Sport Touring",100,79,Dealer
,Used,"$3,250 ","Valparaiso, Indiana, United States",2003,"22,896","Blue/Green Metallic",Harley-Davidson,"Vehicle does NOT have an existing warranty",Sportster,Hugger,Cruiser,100,109,"Private Seller"
,Used,"$8,000 ","Madison, Wisconsin, United States",2012,"24,742","Vivid Black",Harley-Davidson,"Vehicle does NOT have an existing warranty. AS IS.",Touring,,Touring,100,10701,Dealer
,Used,"$17,800 ","Webberville, Michigan, United States",2016,"1,500",Black,Harley-Davidson,"Vehicle has an existing warranty",Touring,,Touring,100,33,"Private Seller"
,Used,"$8,500 ","Rockford, Illinois, United States",2003,"51,000",Black,Harley-Davidson,"Vehicle does NOT have an existing warranty",Touring,,Touring,100,124,"Private Seller"
,Used,"$4,050 ","Gilberts, Illinois, United States",2006,"6,650",Black,Harley-Davidson,"Vehicle does NOT have an existing warranty",Softail,FLSTFI,Cruiser,,58,"Private Seller"
,Used,"$24,999 ","Lima, Ohio, United States",2013,"5,184",Blue,Harley-Davidson,"Vehicle does NOT have an existing warranty",Touring,TRIKE,Touring,100,1645,Dealer
,Used,$0,"South Beloit, Illinois, United States",2011,"3,699","Sedona Orange",Harley-Davidson,,Touring,,,100,130,"Private Seller"
,Used,"$7,200 ","Dewitt, Michigan, United States",2005,"37,500",Custom,Harley-Davidson,"Vehicle does NOT have an existing warranty",Touring,"Road king custom",Touring,100,7,"Private Seller"
,Used,"$10,500 ","Taylorville, Illinois, United States",2013,"6,599",Yellow//Black,Harley-Davidson,"Vehicle does NOT have an existing warranty",Touring,"ULTRA LIMITED",Touring,100,221,Dealer
,Used,$630,"Appleton, Wisconsin, United States",1964,"999,999",Black,Harley-Davidson,"Vehicle does NOT have an existing warranty",FLH,PANHEAD,Dual-Purpose,9.9,42714,Dealer
,Used,"$29,500 ","Parma, Michigan, United States",1950,"8,471",,Harley-Davidson,,Other,,,100,216,
,Used,"$9,050 ","Cudahy, Wisconsin, United States",2008,"39,242",Red,Harley-Davidson,,Touring,,Touring,100,4,"Private Seller"
,Used,"$4,050 ","Gilberts, Illinois, United States",2006,"6,650",Black,Harley-Davidson,"Vehicle does NOT have an existing warranty",Softail,FLSTFI,Cruiser,,58,"Private Seller"
,Used,"$12,500 ","Arlington Heights, Illinois, United States",2011,"10,000",Black,Harley-Davidson,"Vehicle does NOT have an existing warranty",Touring,,Touring,100,97,"Private Seller"
,Used,"$13,000 ","Crawfordsville, Indiana, United States",2011,"8,000",Black,Harley-Davidson,"Vehicle does NOT have an existing warranty",Touring,,,100,66,"Private Seller"
,Used,"$23,000 ","Kokomo, Indiana, United States",2006,"37,600","Silver &amp; teal",Harley-Davidson,"Vehicle does NOT have an existing warranty",Touring,,Touring,4.7,3061,"Private Seller"
,Used,"$8,400 ","Broadview, Illinois, United States",2007,"9,622",Blue,Harley-Davidson,"Vehicle does NOT have an existing warranty",Softail,FXST,,100,18,"Private Seller"
,Used,"$34,900 ","Valparaiso, Indiana, United States",2014,"12,649",Purple,Harley-Davidson,"Vehicle does NOT have an existing warranty",Touring,"FLHR 103",Custom,100,238,"Private Seller"
,Used,"$7,300 ","Rolling Meadows, Illinois, United States",1997,"20,000",Black,Harley-Davidson,"Vehicle does NOT have an existing warranty",Sportster,,,100,111,"Private Seller"
,Used,"$5,000 ","South Bend, Indiana, United States",2003,"1,350",Black,Harley-Davidson,"Vehicle does NOT have an existing warranty",Sportster,XL1200,Cruiser,100,37,"Private Seller"
,Used,"$6,500 ","Warrenville, Illinois, United States",2005,"13,000",Burgundy,Harley-Davidson,"Vehicle does NOT have an existing warranty",Softail,,Standard,9.6,3552,"Private Seller"
,Used,"$13,500 ","Tiffin, Ohio, United States",2012,"3,644",Black,Harley-Davidson,"Vehicle does NOT have an existing warranty",Touring,"road glide ultra",Touring,100,463,"Private Seller"
,Used,"$3,250 ","Valparaiso, Indiana, United States",2003,"22,896","Blue/Green Metallic",Harley-Davidson,"Vehicle does NOT have an existing warranty",Sportster,Hugger,Cruiser,100,109,"Private Seller"
,Used,"$11,000 ","Windsor, Illinois, United States",2009,"16,500",Black,Harley-Davidson,"Vehicle has an existing warranty",Touring,,Touring,100,63,"Private Seller"
,Used,"$9,500 ","Champaign, Illinois, United States",2003,"14,950",Black,Harley-Davidson,,Touring,"Road King Classic",Touring,100,18,"Private Seller"
,Used,"$19,999 ","Lima, Ohio, United States",2000,"48,505",Red,Harley-Davidson,"Vehicle does NOT have an existing warranty",Touring,"TRI GLIDE",TRIKE,100,1645,Dealer
,Used,"$5,500 ","Mansfield, Illinois, United States",2001,"43,971",Black,Harley-Davidson,"Vehicle does NOT have an existing warranty",Softail,"Night Train",,,10,"Private Seller"
,Used,"$6,500 ","Bourbonnais, Illinois, United States",1986,"55,300",,Harley-Davidson,,Touring,FLHTC,Touring,100,1,"Private Seller"
,Used,"$8,000 ","Lansing, Michigan, United States",2000,"21,451",Black,Harley-Davidson,,Touring,,,100,66,"Private Seller"
,Used,"$13,500 ","Cement City, Michigan, United States",2012,"34,696",RED,Harley-Davidson,"WARRANTY AVAILABLE",Touring,"STREET GLIDE",Touring,100,1,Dealer
,Used,"$5,655 ","Fond du Lac, Wisconsin, United States",2015,"1,530",Burgundy,Harley-Davidson,"Vehicle has an existing warranty",Switchback,,Dual-Purpose,100,18,"Private Seller"
,Used,"$10,000 ","Davis, Illinois, United States",2000,"23,000",Black,Harley-Davidson,"Vehicle does NOT have an existing warranty",Touring,FLHP,Touring,100,178,
,Used,"$8,800 ","Cudahy, Wisconsin, United States",2008,"39,242",Red,Harley-Davidson,,Touring,,Touring,100,4,"Private Seller"
,Used,"$11,995 ","Troy, Michigan, United States",1972,"4,065","Red / white",Harley-Davidson,"Vehicle does NOT have an existing warranty",Touring,,"Sport Touring",100,162,"Private Seller"
,Used,"$18,799 ","Pekin, Illinois, United States",2016,"3,400",,Harley-Davidson,,Touring,,,100,2653,
,Used,"$6,999 ","Sumner, Illinois, United States",2011,"2,120",Black,Harley-Davidson,"Vehicle does NOT have an existing warranty",Other,,,100,1057,
,Used,"$9,900 ","Morrisonville, Illinois, United States",2003,"21,300",Black,Harley-Davidson,"Vehicle does NOT have an existing warranty",Touring,,Touring,100,381,"Private Seller"
,Used,$500,"Columbus, Indiana, United States",2008,"13,000",,Harley-Davidson,"Vehicle does NOT have an existing warranty",Touring,,harley,,76,owner
,Used,"$15,500 ","Lima, Ohio, United States",2006,"21,760",Custom,Harley-Davidson,"Vehicle does NOT have an existing warranty",Touring,,Touring,,24,"Private Seller"
,Used,"$12,000 ","Plano, Illinois, United States",2008,"34,530",BLACK/SILVER/RED,Harley-Davidson,"Vehicle does NOT have an existing warranty",Softail,,SOFTAIL,100,40,"Private Seller"
,Used,"$14,000 ","Fort Atkinson, Wisconsin, United States",2007,"10,700","Black with custom blue paint job",Harley-Davidson,,Touring,,Touring,100,181,"Private Seller"
,Used,"$23,749 ","Cedarburg, Wisconsin, United States",2012,"22,000","custom red wood grain/black/siver",Harley-Davidson,"Vehicle does NOT have an existing warranty",Touring,"Street Glide",Touring,100,30,"Private Seller"
,Used,"$10,995 ","Delafield, Wisconsin, United States",2002,"4,185",Blue,Harley-Davidson,"Vehicle does NOT have an existing warranty",Other,,,100,91,"Private Seller"
,Used,"$5,200 ","Swanton, Ohio, United States",2008,"13,500",Black,Harley-Davidson,"Vehicle does NOT have an existing warranty",Dyna,"Night Train",,5.8,460,Dealer
,Used,"$7,500 ","Midland, Michigan, United States",2006,"41,500",Black,Harley-Davidson,"Vehicle does NOT have an existing warranty",Softail,"Heritage Sofftail",Cruiser,,17,"Private Seller"
,Used,"$2,025 ","Muncie, Indiana, United States",2003,"48,985",Blue,Harley-Davidson,"Vehicle does NOT have an existing warranty",Touring,,Touring,100,57,"Private Seller"
,Used,"$6,950 ","Addison, Illinois, United States",2007,"20,000",,Harley-Davidson,,Softail,,,100,8,
,Used,"$15,100 ","Anderson, South Carolina, United States",2015,"2,571","Superior Blue",Harley-Davidson,"Vehicle has an existing warranty",Touring,"FLRT Trike",Touring,100,8134,"Private Seller"
,Used,"$18,999 ","Kewanee, Illinois, United States",2014,"2,600",Black,Harley-Davidson,,Touring,"Ultra Classis Limited FLHTK",Touring,,6,"Private Seller"
,New,"$36,100 ","Miami, Florida, United States",2017,949,"Blue black silver",Harley-Davidson,"Vehicle has an existing warranty",Touring,"Road Glide",,6.1,157,"Private Seller"
,Used,"$16,000 ","Toledo, Ohio, United States",2016,955,Blue,Harley-Davidson,"Vehicle has an existing warranty",Touring,"Heritage Classic",Touring,100,1,"Private Seller"
,Used,$995,"Fort Wayne, Indiana, United States",1985,"26,000",black/green,Kawasaki,none,Other,gpz550,"Sport Touring",100,520,owner
,Used,"$3,500 ","Crown Point, Indiana, United States",1990,"30,000",Silver,Harley-Davidson,"Vehicle does NOT have an existing warranty",Sportster,,"XL883H hugger",100,169,"Private Seller"
,Used,"$12,500 ","McHenry, Illinois, United States",2010,"30,200",,Harley-Davidson,,Touring,,,100,1881,
,Used,"$21,900 ","Hillsboro, Oregon, United States",2017,"1,067","Superipr Blue",Harley-Davidson,"Vehicle has an existing warranty",Touring,"FLHXS Street Glide Special",Touring,100,127,Dealer
,Used,"$18,500 ","Sparta, Wisconsin, United States",2014,"2,600",Silver/Gray,Harley-Davidson,"Vehicle does NOT have an existing warranty",Touring,,Touring,,25,"Private Seller"
,Used,$0,"Edwardsville, Illinois, United States",2003,"11,200",Black,Harley-Davidson,"Vehicle does NOT have an existing warranty",Touring,,,100,133,"Private Seller"
,Used,"$1,325 ","Monticello, Indiana, United States",2008,"43,312",Silver,Harley-Davidson,"Vehicle does NOT have an existing warranty",Dyna,"Super Glide",,100,697,Dealer
,Used,"$10,995 ","Delafield, Wisconsin, United States",2002,"4,185",Blue,Harley-Davidson,"Vehicle does NOT have an existing warranty",Other,,,100,91,"Private Seller"
,Used,"$5,600 ","Ferndale, Michigan, United States",2016,"1,700",Black,BMW,"Vehicle has an existing warranty",R-Series,"R 9 T",Naked,100,383,"Private Seller"
,Used,$598,"Appleton, Wisconsin, United States",1978,"999,999",Blue,Kawasaki,"Vehicle does NOT have an existing warranty",Z1R,,Dual-Purpose,9.9,42714,Dealer
,Used,"$9,499 ","Milwaukee, Wisconsin, United States",2003,"46,000",Black,Harley-Davidson,,Touring,,Touring,9.4,2823,"Private Seller"
,Used,"$7,700 ","Chicago, Illinois, United States",2005,"19,010",Yellow,BMW,"Vehicle does NOT have an existing warranty",R-Series,,"Dual sport",100,86,"Private Seller"
,Used,"$9,500 ","Hartland, Michigan, United States",2008,"28,000",,Harley-Davidson,,Touring,,Touring,100,18,owner
,New,"$12,900 ","Lima, Ohio, United States",2016,0,Red,Honda,"Vehicle has an existing warranty",Other,crf1000,Dual-Purpose,100,1645,Dealer
,Used,"$6,500 ","New Boston, Illinois, United States",2007,"9,490",Black,Harley-Davidson,"Vehicle does NOT have an existing warranty",Softail,FXSTB,Standard,100,50,"Private Seller"
,Used,"$4,350 ","Neponset, Illinois, United States",2006,"3,964",Black,Harley-Davidson,"Vehicle does NOT have an existing warranty",Sportster,Low,Cruiser,100,180,"Private Seller"
,Used,"$13,400 ","Deerfield, Illinois, United States",2008,"12,500",Black,Harley-Davidson,,Touring,,Touring,100,94,"Private Seller"
,Used,"$7,999 ","Iowa City, Iowa, United States",2008,"20,000",Black,Harley-Davidson,"Vehicle does NOT have an existing warranty",Touring,,Touring,100,163,"Private Seller"
,Used,"$2,899 ","Elkhart, Indiana, United States",1975,"17,936",,Honda,"Vehicle does NOT have an existing warranty","Gold Wing",,Standard,100,3218,Dealer
,Used,"$17,200 ","Caledonia, Michigan, United States",2017,"1,500","Superior Blue",Harley-Davidson,,Softail,"Heritage Softail Classic",,100,192,
,Used,"$12,500 ","Muskego, Wisconsin, United States",2015,216,Gray,Harley-Davidson,Unspecified,Softail,,Cruiser,100,715,Dealer
,Used,"$1,225 ","Indianapolis, Indiana, United States",2003,"70,000",Black,Harley-Davidson,"Vehicle does NOT have an existing warranty",Touring,,"Sport Touring",,60,"Private Seller"
,Used,"$7,400 ","Mount Sterling, Illinois, United States",1999,"27,000",,Harley-Davidson,,Softail,,,100,107,
,Used,"$13,995 ","Hillsdale, Michigan, United States",2012,"2,182","Chrome Yellow",Harley-Davidson,"Vehicle does NOT have an existing warranty",Softail,FatBoy,Cruiser,100,319,"Private Seller"
,Used,$455,"Peoria, Illinois, United States",1973,"13,098",Green,Honda,"Vehicle does NOT have an existing warranty",CB,,Standard,100,68,"Private Seller"
,Used,"$1,050 ","New Palestine, Indiana, United States",2011,"18,300",Red,Harley-Davidson,"Vehicle does NOT have an existing warranty",Touring,"Limited FLHTK",Touring,100,116,owner
,Used,"$47,720 ","Gastonia, North Carolina, United States",2016,"3,355",SILVER,Harley-Davidson,"Vehicle has an existing warranty",Touring,"FINANCING AVAILABLE - 704-824-8533",Touring,100,1016,Dealer
,Used,"$18,500 ","Hamilton, Ohio, United States",2008,"3,800",copper/black,Harley-Davidson,"Vehicle does NOT have an existing warranty",Touring,"screaming eagle",Touring,100,194,"Private Seller"
,Used,"$5,600 ","Peoria, Illinois, United States",2009,420,Black,Harley-Davidson,,Sportster,,Standard,,18,"Private Seller"
,Used,"$12,500 ","Arthur, Illinois, United States",2012,"26,000","Enber red sunglow/Merlot",Harley-Davidson,"Vehicle does NOT have an existing warranty",Touring,Limited,Touring,,75,"Private Seller"
,Used,"$29,999 ","Whittier, California, United States",2015,"2,100","Vivid Black",Harley-Davidson,"Vehicle does NOT have an existing warranty",Touring,"Road Glide","One Owner",100,347,"Private Seller"
,Used,"$5,999 ","Jonesboro, Arkansas, United States",2003,"13,015",Silver,Harley-Davidson,"Vehicle does NOT have an existing warranty",Touring,"VROD V-ROD V ROD",Cruiser,100,292,Dealer
,Used,"$19,788 ","Port Orange, Florida, United States",2017,241,Black,Harley-Davidson,"Vehicle has an existing warranty",Touring,,Touring,100,762,Dealer
,Used,"$51,552 ","Gastonia, North Carolina, United States",2017,"3,335",ORANGE,Harley-Davidson,"Vehicle has an existing warranty",Touring,"FINANCING AVAILABLE - 704-824-8533",Touring,100,1016,Dealer
,Used,"$7,000 ","Fenton, Michigan, United States",2007,"6,500","white pearlescent",Harley-Davidson,"Vehicle does NOT have an existing warranty",Touring,,"Sport Touring",,6,"Private Seller"
,Used,"$5,600 ","Chicago, Illinois, United States",1976,"4,011",Black,"Other Makes","Vehicle does NOT have an existing warranty",W-2000,,,100,321,"Private Seller"
,Used,"$10,750 ","Indianapolis, Indiana, United States",2001,"9,000",Blue,Harley-Davidson,NO,Softail,"HERITAGE SPRINGER FLSTS",Cruiser,,7,Owner
,Used,"$9,900 ","Sterling, Illinois, United States",2009,"18,081","Black Diamond / Fire Quartz",Harley-Davidson,"Vehicle does NOT have an existing warranty",Dyna,FXDFSE,Cruiser,9.8,6229,Dealer
,Used,"$1,300 ","Markleville, Indiana, United States",1995,1,,Harley-Davidson,,Dyna,,,7.8,133,
,Used,"$16,100 ","Oakton, Virginia, United States",2016,"1,377","Black Quartz",Harley-Davidson,"Vehicle has an existing warranty",Touring,"Road Glide Special",Touring,100,65,"Private Seller"
,Used,"$2,200 ","Thiensville, Wisconsin, United States",1980,"35,200",,Honda,"Vehicle does NOT have an existing warranty",CB,CB900C,,100,277,
,Used,"$7,200 ","Appleton, Wisconsin, United States",2003,"17,225",Black,Harley-Davidson,Unspecified,Softail,Softail,Cruiser,100,72,"Private Seller"
,Used,"$30,000 ","Villa Park, Illinois, United States",2006,"7,000","BLACK CHERRY",Harley-Davidson,"Vehicle does NOT have an existing warranty",FXR,,"Sport Bike",100,56,"Private Seller"
,Used,"$2,500 ","Rockford, Illinois, United States",1989,"11,390",Blue/silver,Harley-Davidson,"Vehicle does NOT have an existing warranty",Sportster,,"Sport Touring",100,129,"Private Seller"
,Used,"$17,000 ","Plainfield, Illinois, United States",2016,"11,703","BLACK DIAMOND","Other Makes","Vehicle has an existing warranty",SLINGSHOT,"SL LIMITED EDITION","Sport Touring",100,390,Dealer
,Used,"$6,950 ","Schenectady, New York, United States",2006,"65,100",Burgundy,Harley-Davidson,"Vehicle does NOT have an existing warranty",Touring,FLHXI,Touring,100,1028,Dealer
,Used,"$19,600 ","Pierre, South Dakota, United States",2012,"25,976",,Harley-Davidson,"Vehicle has an existing warranty",Touring,Trike,Touring,100,40,
,Used,"$49,441 ","Gastonia, North Carolina, United States",2017,770,SILVER,Harley-Davidson,"Vehicle has an existing warranty",Touring,"FINANCING AVAILABLE - 704-824-8533",Touring,100,1016,Dealer
,Used,"$4,750 ","Dearborn Heights, Michigan, United States",2016,500,"Gray &amp; Black",Yamaha,"Vehicle has an existing warranty",YZF-R,"R1 // 1000CC","Sport Bike",100,520,Dealer
,New,"$3,799 ","Johnson Creek, Wisconsin, United States",2016,1,blue/silver,Yamaha,"Vehicle has an existing warranty",R3,,Naked,9.2,5605,Dealer
,Used,"$1,700 ","Chicago, Illinois, United States",1979,"1,600",,Yamaha,,Other,,,100,162,
,Used,"$5,500 ","Peoria, Illinois, United States",2015,72,Black,Harley-Davidson,"Vehicle does NOT have an existing warranty",Street,,,100,607,"Private Seller"
,Used,"$12,500 ","Milan, Michigan, United States",2009,"3,435",,BMW,,R-Series,Adventure,,9.8,34576,"Private Seller"
,Used,"$5,000 ","Amber, Oklahoma, United States",1975,750,"Orange and Black",Harley-Davidson,,Other,,Cruiser,100,3,"Private Seller"
,Used,"$5,600 ","Madison, Wisconsin, United States",2013,"13,727","Two-Tone Birch White / Midnight Pearl",Harley-Davidson,"Vehicle does NOT have an existing warranty. AS IS.",Sportster,,Standard,100,10701,Dealer
,Used,"$4,300 ","White Lake, Michigan, United States",2004,"10,650","Lava Red",Harley-Davidson,,Softail,FXSTDI,Cruiser,100,22,"Private Seller"
,Used,"$17,000 ","Plainfield, Illinois, United States",2016,"11,703","BLACK DIAMOND","Other Makes","Vehicle has an existing warranty",SLINGSHOT,"SL LIMITED EDITION","Sport Touring",100,390,Dealer
,Used,"$6,000 ","Greenwood, Indiana, United States",2010,"8,610",red,Harley-Davidson,"Vehicle does NOT have an existing warranty",Softail,flstc,Cruiser,100,22,Dealer
,Used,"$2,300 ","Chicago, Illinois, United States",1974,"4,006",Blue,Honda,,CB,360,"Caf\xE9 Racer",100,51,owner
,Used,"$6,950 ","Schenectady, New York, United States",2006,"65,100",Burgundy,Harley-Davidson,"Vehicle does NOT have an existing warranty",Touring,FLHXI,Touring,100,1028,Dealer
,Used,"$19,600 ","Pierre, South Dakota, United States",2012,"25,976",,Harley-Davidson,"Vehicle has an existing warranty",Touring,Trike,Touring,100,40,
,Used,"$49,441 ","Gastonia, North Carolina, United States",2017,770,SILVER,Harley-Davidson,"Vehicle has an existing warranty",Touring,"FINANCING AVAILABLE - 704-824-8533",Touring,100,1016,Dealer
,Used,"$8,000 ","Hudsonville, Michigan, United States",1996,"8,250",Burgundy,Harley-Davidson,"Vehicle does NOT have an existing warranty",Softail,,Touring,100,56,"Private Seller"
,Used,"$10,700 ","Riverview, Michigan, United States",2005,"4,300",,Harley-Davidson,,Softail,FATBOY,,100,651,"Private Seller"
,Used,"$12,999 ","Crown Point, Indiana, United States",2012,540,Silver,Harley-Davidson,,Other,,"Sport Bike",100,661,"Private Seller"
,Used,"$5,500 ","Allendale, Michigan, United States",2012,"12,150",Black,Harley-Davidson,"Vehicle does NOT have an existing warranty",Sportster,,,100,138,"Private Seller"
